,Gemini 3.1 Pro,Claude Sonnet 5 ,GPT 5.5
Group #1&2,Mexico,Mexico,Mexico
,Switzerland,Switzerland,Switzerland
,Brazil,Brazil,Brazil
,USA,USA,United States
,Germany,Germany,Germany
,Netherlands,Netherlands,Netherlands
,Belgium,Belgium,Belgium
,Spain,Spain,Spain
,France,France,France
,Argentina,Argentina,Argentina
,Portugal,Portugal,Portugal
,England,England,England
,South Korea,Czechia,South Korea
,Canada,Canada,Canada
,Morocco,Morocco,Morocco
,Türkiye,Turkiye,Paraguay
,Ecuador,Côte d'Ivoire,Ecuador
,Japan,Japan,Japan
,Egypt,Egypt,IR Iran
,Uruguay,Uruguay,Uruguay
,Senegal,Senegal,Senegal
,Austria,Austria,Austria
,Colombia,Colombia,Colombia
,Croatia,Croatia,Croatia
,,,
#3 Advanced,Czechia  ,Scotland,South Africa
,Scotland  ,Ecuador,Scotland
,Australia  ,Sweden,Australia
,Côte d'Ivoire  ,Cape Verde,Côte d'Ivoire
,Sweden  ,Norway,Sweden 
,Norway  ,Algeria,Egypt
,Algeria  ,DR Congo,Norway
,Ghana  ,Ghana,Uzbekistan
,,,
Round of 16,Mexico,Croatia,Mexico
,Switzerland,Switzerland,Switzerland
,Brazil,Brazil,Brazil
,USA,USA,United States
,Germany,Germany,Germany
,Netherlands,Netherlands,Netherlands
,Belgium,Belgium,Belgium
,Spain,Spain,Spain
,France,France,France
,Argentina,Argentina,Argentina
,Portugal,Portugal,Portugal
,England,England,England
,Uruguay,Turkiye,Morocco
,Colombia,Japan,Uruguay
,Croatia,Uruguay,Croatia
,Austria,Morocco,Japan
,,,
Quarterfinals,Switzerland,Croatia,Brazil
,Brazil,Brazil,Germany
,Germany,Netherlands,France
,Spain,Spain,Portugal
,France,Argentina,Argentina
,England,England,Spain
,Uruguay,Japan,England
,Croatia,Uruguay,USA
,,,
Semifinals,Brazil,Brazil,Brazil
,Spain,Spain,France
,France,Argentina,Argentina
,Uruguay,Uruguay,England
,,,
Final,Brazil,Brazil,Brazil
,France,Argentina,Argentina
,,,
Champion,Brazil,Agentina,Brazil
