,FIFAbot
Group #1&2,Mexico
,Canada
,Brazil
,Australia
,Germany
,Japan
,Egypt
,Uruguay
,France
,Argentina
,Colombia
,England
,South Korea
,Switzerland
,Morocco
,Paraguay
,Côte d'Ivoire
,Tunisia
,Iran
,Spain
,Senegal
,Algeria
,Uzbekistan
,Croatia
,
#3 Advanced,Norway
,Ecuador
,Belgium
,Netherlands
,USA
,South Africa
,Haiti
,Bosnia and Herzegovina
,
Round of 16,South Korea
,Germany
,Japan
,Brazil
,France
,Senegal
,Mexico
,England
,Bosnia and Herzegovina
,Ecuador
,Croatia
,Uruguay
,Netherlands
,Argentina
,Colombia
,Iran
,
Quarterfinals,France
,Japan
,Senegal
,Mexico
,Uruguay
,Ecuador
,Iran
,Colombia
,
Semifinals,France
,Ecuador
,Senegal
,Colombia
,
Final,France
,Colombia
,
Champion,Colombia
